site,name,url
gearvn,"Laptop ASUS Vivobook S 14 M3407KA-SF034W (Ryzen AI 5-330/ 16GB/ 512GB/ 14"" FHD OLED) 16 GB 512 GB AMD Radeon Graphics 14 inch 60 Hz 33.990.000đ Mua kèm giá ưu đãi: [Laptop] Giảm 1% tối đa 500k cho HSSV khi mua laptop",https://gearvn.com/products/laptop-asus-vivobook-s-14-m3407ka-sf034w-ryzen-ai-5-330-16gb-512gb-14-fhd-oled
gearvn,"Laptop ASUS Vivobook Flip TP3407AA-SG029W (Ultra 7-355/ 16GB/ 512GB/ 14"" FHD OLED) 16 GB 512 GB Intel Graphics 14 inch 60 Hz 41.990.000đ Mua kèm giá ưu đãi: [Laptop] Giảm 1% tối đa 500k cho HSSV khi mua laptop",https://gearvn.com/products/laptop-asus-vivobook-flip-tp3407aa-sg029w-ultra-7-355-16gb-512gb-14-fhd-oled
gearvn,"Laptop ASUS Vivobook 14 X1504MA-BQ633W (Core 7-350/ 8GB/ 512GB/ 14"" FHD IPS) 30.490.000đ Mua kèm giá ưu đãi: [Laptop] Giảm 1% tối đa 500k cho HSSV khi mua laptop",https://gearvn.com/products/laptop-asus-vivobook-14-x1504ma-bq633w-core-7-350-8gb-512gb-14-fhd-ips
gearvn,"Laptop ASUS Vivobook 15 X1504MA-BQ632W (Core 5-320/ 8GB/ 512GB/ 15"" FHD IPS) 26.990.000đ Mua kèm giá ưu đãi: [Laptop] Giảm 1% tối đa 500k cho HSSV khi mua laptop",https://gearvn.com/products/laptop-asus-vivobook-15-x1504ma-bq632w-core-5-320-8gb-512gb-15-fhd-ips
gearvn,"Laptop ASUS Vivobook 15 X1504VA-BQ165W (Core 5-120U/ 8GB/ 512GB/ 15"" FHD IPS) 20.990.000đ Mua kèm giá ưu đãi: [Laptop] Giảm 1% tối đa 500k cho HSSV khi mua laptop",https://gearvn.com/products/laptop-asus-vivobook-15-x1504va-bq165w-core-5-120u-8gb-512gb-15-fhd-ips
gearvn,"Laptop ASUS Vivobook 14 X1404VA-EB609W (Core 3-100U/ 8GB/ 512GB/ 14"" FHD IPS) 8 GB 512 GB Intel Graphics 14 inch 60 Hz 21.990.000đ Mua kèm giá ưu đãi: [Laptop] Giảm 1% tối đa 500k cho HSSV khi mua laptop",https://gearvn.com/products/laptop-asus-vivobook-14-x1404va-eb609w-core-3-100u-8gb-512gb-14-fhd-ips
gearvn,"Laptop ASUS Vivobook 14 X1404MA-EB027W (Core 3/ 8GB/ 512GB/ 14"" FHD IPS) 8 GB 512 GB Intel Graphics 14 inch 60 Hz 22.990.000đ Mua kèm giá ưu đãi: [Laptop] Giảm 1% tối đa 500k cho HSSV khi mua laptop",https://gearvn.com/products/laptop-asus-vivobook-14-x1404ma-eb027w-core-3-8gb-512gb-14-fhd-ips
gearvn,"Laptop ASUS Vivobook 14 X1407CA-LY203W (Ultra 5-225H/ 16GB/ 512GB/ 14"" FHD IPS) 16 GB 512 GB Intel Graphics 14 inch 60 Hz 33.490.000đ Mua kèm giá ưu đãi: [Laptop] Giảm 1% tối đa 500k cho HSSV khi mua laptop",https://gearvn.com/products/laptop-asus-vivobook-14-x1407ca-ly203w-ultra-5-225h-16gb-512gb-14-fhd-ips
gearvn,"Laptop ASUS Vivobook 14 X1404VA-EB355W (Core 7-150U/ 16GB/ 512GB/ 14"" FHD IPS) 16 GB 512 GB Intel Graphics 14 inch 60 Hz 25.990.000đ Mua kèm giá ưu đãi: [Laptop] Giảm 1% tối đa 500k cho HSSV khi mua laptop",https://gearvn.com/products/laptop-asus-vivobook-14-x1404va-eb355w-core-7-150u-16gb-512gb-14-fhd-ips
gearvn,"Laptop ASUS Vivobook 14 X1404MA-EB220W (Core 7/ 8GB/ 512GB/ 14"" FHD IPS) 30.490.000đ Mua kèm giá ưu đãi: [Laptop] Giảm 1% tối đa 500k cho HSSV khi mua laptop",https://gearvn.com/products/laptop-asus-vivobook-14-x1404ma-eb220w-core-7-8gb-512gb-14-fhd-ips
